A,B,C,D,E,F,G,Height,J,K,I,Text
1,1,0,0,0,0,0,0,3307,2338,-1
2,1,1,0,0,0,144,288,43,1944,-1
3,1,1,1,0,0,144,288,43,1944,-1
4,1,1,1,1,0,144,288,43,1944,-1
5,1,1,1,1,1,144,288,43,1944,95
2,1,2,0,0,0,1190,715,279,37,-1
3,1,2,1,0,0,1190,715,279,37,-1
4,1,2,1,1,0,1190,715,2,25,-1
5,1,2,1,1,1,1190,715,2,25,90,|
4,1,2,1,2,0,1453,738,16,14,-1
5,1,2,1,2,1,1453,738,16,14,48,<
2,1,3,0,0,0,832,749,481,104,-1
3,1,3,1,0,0,832,749,481,104,-1
4,1,3,1,1,0,832,749,481,104,-1
5,1,3,1,1,1,832,749,481,104,95
2,1,4,0,0,0,858,749,599,252,-1
3,1,4,1,0,0,858,749,599,252,-1
4,1,4,1,1,0,1421,749,36,33,-1
5,1,4,1,1,1,1421,749,36,33,0,Ss
4,1,4,1,2,0,1396,777,27,32,-1
5,1,4,1,2,1,1396,777,27,32,12,A
4,1,4,1,3,0,1385,804,14,17,-1
5,1,4,1,3,1,1385,804,14,17,39,e
4,1,4,1,4,0,1362,833,9,10,-1
5,1,4,1,4,1,1362,833,9,10,51,@
4,1,4,1,5,0,1337,837,28,27,-1
5,1,4,1,5,1,1337,837,28,27,0,e
4,1,4,1,6,0,1183,861,159,24,-1
5,1,4,1,6,1,1183,864,1,21,84,|
5,1,4,1,6,2,1320,861,22,19,0,°
4,1,4,1,7,0,1085,875,238,18,-1
5,1,4,1,7,1,1085,875,32,18,31,Tah
5,1,4,1,7,2,1312,880,11,10,59,<
4,1,4,1,8,0,1103,885,213,33,-1
5,1,4,1,8,1,1103,891,17,14,35,1
5,1,4,1,8,2,1151,887,13,22,23,és
5,1,4,1,8,3,1181,900,12,18,0,r
5,1,4,1,8,4,1294,885,22,21,0,e
4,1,4,1,9,0,870,914,354,20,-1
5,1,4,1,9,1,870,917,117,14,64,£=492186.532
5,1,4,1,9,2,1127,914,97,20,0,"Ya,"
4,1,4,1,10,0,858,933,552,21,-1
5,1,4,1,10,1,858,939,129,15,83,N=2778535.907
5,1,4,1,10,2,1212,933,6,6,0,.
5,1,4,1,10,3,1297,936,10,14,92,E
5,1,4,1,10,4,1314,935,96,15,17,492188626
4,1,4,1,11,0,1060,930,362,53,-1
5,1,4,1,11,1,1060,977,10,6,74,J
5,1,4,1,11,2,1129,930,34,53,0,IN
5,1,4,1,11,3,1233,958,9,7,63,5
5,1,4,1,11,4,1297,959,11,13,91,N
5,1,4,1,11,5,1316,957,106,15,0,2778535716
4,1,4,1,12,0,1176,979,106,22,-1
5,1,4,1,12,1,1176,979,2,13,41,1)
5,1,4,1,12,2,1222,987,60,14,52,oq
2,1,5,0,0,0,956,1006,329,24,-1
3,1,5,1,0,0,956,1006,329,24,-1
4,1,5,1,1,0,956,1006,329,24,-1
5,1,5,1,1,1,956,1014,10,13,68,E
5,1,5,1,1,2,972,1013,97,14,3,492187.500
5,1,5,1,1,3,1175,1006,26,24,54,|>
5,1,5,1,1,4,1257,1006,28,12,5,eA
2,1,6,0,0,0,944,1026,468,39,-1
