A,B,C,D,E,F,G,Height,J,K,I,Text
5,1,15,1,1,1,6048,1001,384,30,95
4,1,15,1,2,0,204,1042,6230,94,-1
5,1,15,1,2,1,204,1042,6230,94,95
4,1,15,1,3,0,204,1136,5556,32,-1
5,1,15,1,3,1,204,1136,5556,32,95
4,1,15,1,4,0,204,1168,5462,20,-1
5,1,15,1,4,1,204,1168,5462,20,95
4,1,15,1,5,0,204,1188,5463,29,-1
5,1,15,1,5,1,204,1188,5463,29,95
2,1,16,0,0,0,204,1095,6233,515,-1
3,1,16,1,0,0,204,1095,6233,515,-1
4,1,16,1,1,0,6268,1095,165,34,-1
5,1,16,1,1,1,6268,1095,165,34,95
4,1,16,1,2,0,6316,1136,118,32,-1
5,1,16,1,2,1,6316,1136,118,32,95
4,1,16,1,3,0,204,1168,6231,80,-1
5,1,16,1,3,1,204,1217,5557,31,95
5,1,16,1,3,2,6424,1168,11,49,95
4,1,16,1,4,0,204,1217,6233,226,-1
5,1,16,1,4,1,204,1217,6233,226,95
4,1,16,1,5,0,204,1443,6233,25,-1
5,1,16,1,5,1,204,1443,6233,25,95
4,1,16,1,6,0,204,1468,5767,39,-1
5,1,16,1,6,1,204,1468,5767,39,95
4,1,16,1,7,0,204,1507,4443,60,-1
5,1,16,1,7,1,204,1507,4443,60,95
4,1,16,1,8,0,204,1567,3814,43,-1
5,1,16,1,8,1,204,1567,3814,43,95
2,1,17,0,0,0,5760,1149,633,87,-1
3,1,17,1,0,0,5760,1149,633,87,-1
4,1,17,1,1,0,5760,1149,556,26,-1
5,1,17,1,1,1,5760,1151,133,24,93,EXISTING
5,1,17,1,1,2,5904,1151,85,23,92,DEWA
5,1,17,1,1,3,5997,1151,105,22,93,WATER
5,1,17,1,1,4,6110,1150,19,22,93,&
5,1,17,1,1,5,6139,1149,177,23,96,ELECTRICAL
4,1,17,1,2,0,5760,1180,633,25,-1
5,1,17,1,2,1,5760,1183,113,22,96,CABLES
5,1,17,1,2,2,5883,1183,67,21,95,WILL
5,1,17,1,2,3,5960,1183,36,21,96,BE
5,1,17,1,2,4,6006,1181,176,23,96,PROTECTED
5,1,17,1,2,5,6190,1181,39,22,96,AS
5,1,17,1,2,6,6239,1181,59,21,93,PER
5,1,17,1,2,7,6307,1180,86,22,91,DEWA
4,1,17,1,3,0,5761,1212,183,24,-1
5,1,17,1,3,1,5761,1212,183,24,96,STANDARDS.
2,1,18,0,0,0,5855,1299,582,144,-1
3,1,18,1,0,0,5855,1299,582,144,-1
4,1,18,1,1,0,5855,1299,582,144,-1
5,1,18,1,1,1,5855,1299,582,144,95
2,1,19,0,0,0,5692,1335,503,92,-1
3,1,19,1,0,0,5692,1335,503,92,-1
4,1,19,1,1,0,5692,1335,163,30,-1
5,1,19,1,1,1,5692,1335,163,30,95,LEGEND:
4,1,19,1,2,0,5728,1395,467,32,-1
5,1,19,1,2,1,5728,1395,134,12,32,ee
5,1,19,1,2,2,5970,1405,134,22,96,EXISTING
5,1,19,1,2,3,6114,1404,81,23,96,ROAD
2,1,20,0,0,0,5971,1480,384,24,-1
3,1,20,1,0,0,5971,1480,384,24,-1
4,1,20,1,1,0,5971,1480,384,24,-1
5,1,20,1,1,1,5971,1481,174,23,96,ADDITIONAL
5,1,20,1,1,2,6153,1480,134,23,96,ASPHALT
5,1,20,1,1,3,6297,1480,58,23,96,FOR
2,1,21,0,0,0,4972,1468,1465,134,-1
3,1,21,1,0,0,4972,1468,1465,134,-1
4,1,21,1,1,0,4972,1468,1465,99,-1
