Text
RTA:
EXISTING ASPHALT Oedil
PLOT LIMIT
PROPOSED STEEL RAMP
PROPOSED TRAFFIC CONE
WITH FLASH LIGHT
UNMADE AREA
EXISTING UPSTAND KERB
PROPOSED FENCING
EF}
RTA-TEMP FENCE
